Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
ubuntu:focal:python3.8,"BSD-2-Clause,BSD-3-Clause,ISC,MIT,Zlib","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:python3.8:3.8.10-0ubuntu1~20.04.1,deb://ubuntu:focal:python3.8,3.8.10-0ubuntu1~20.04.1
com.fasterxml.woodstox:woodstox-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.woodstox:woodstox-core:5.2.1,gav://com.fasterxml.woodstox:woodstox-core,5.2.1
dk.brics.automaton:automaton,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,maven,dk.brics.automaton:automaton:1.11-8,gav://dk.brics.automaton:automaton,1.11-8
org.apache.twill:twill-ext,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.twill:twill-ext:0.14.0-202111020547020344-41637331,gav://org.apache.twill:twill-ext,0.14.0-202111020547020344-41637331
ip,MIT,http://www.opensource.org/licenses/MIT,npm,ip:1.1.5,npm://ip,1.1.5
http-proxy-middleware,MIT,http://www.opensource.org/licenses/MIT,npm,http-proxy-middleware:2.0.3,npm://http-proxy-middleware,2.0.3
is-regex,MIT,http://www.opensource.org/licenses/MIT,npm,is-regex:1.1.4,npm://is-regex,1.1.4
8:systemd-pam,"GPL-2.0-or-later,LGPL-2.0-or-later,MIT","http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html,http://www.opensource.org/licenses/MIT",rpm,8:systemd-pam:0:239-51.el8_5.3,rpm://8:systemd-pam,0:239-51.el8_5.3
ecc-jsbn,MIT,http://www.opensource.org/licenses/MIT,npm,ecc-jsbn:0.1.2,npm://ecc-jsbn,0.1.2
ubuntu:focal:libp11-kit0,"BSD,ISC","http://directory.fsf.org/wiki/License:BSD_4Clause,http://www.opensource.org/licenses/ISC",deb,ubuntu:focal:libp11-kit0:0.23.20-1ubuntu0.1,deb://ubuntu:focal:libp11-kit0,0.23.20-1ubuntu0.1
com.github.luben:zstd-jni,BSD 2-Clause,http://opensource.org/licenses/BSD-2-Clause,maven,com.github.luben:zstd-jni:1.5.0-4,gav://com.github.luben:zstd-jni,1.5.0-4
com.googlecode.javaewah:JavaEWAH,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.googlecode.javaewah:JavaEWAH:0.3.2,gav://com.googlecode.javaewah:JavaEWAH,0.3.2
com.google.guava:guava,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:guava:30.1-jre,gav://com.google.guava:guava,30.1-jre
org.apache.commons:commons-lang3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.commons:commons-lang3:3.4,gav://org.apache.commons:commons-lang3,3.4
org.apache.hadoop:hadoop-mapreduce-client-shuffle,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.hadoop:hadoop-mapreduce-client-shuffle:2.8.5,gav://org.apache.hadoop:hadoop-mapreduce-client-shuffle,2.8.5
is-weakref,MIT,http://www.opensource.org/licenses/MIT,npm,is-weakref:1.0.2,npm://is-weakref,1.0.2
p-limit,MIT,http://www.opensource.org/licenses/MIT,npm,p-limit:1.3.0,npm://p-limit,1.3.0
ubuntu:focal:gpgconf,"BSD,CC0-1.0,GPL-3.0,LGPL-3.0","http://directory.fsf.org/wiki/License:BSD_4Clause,http://creativecommons.org/publicdomain/zero/1.0/,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/lgpl-3.0-standalone.html",deb,ubuntu:focal:gpgconf:2.2.19-3ubuntu2.1,deb://ubuntu:focal:gpgconf,2.2.19-3ubuntu2.1
ubuntu:focal:libdbus-1-3,"AFL-3.0,BSD-3-Clause,GPL-2.0-only","http://www.opensource.org/licenses/afl-3.0,http://opensource.org/licenses/BSD-3-Clause,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",deb,ubuntu:focal:libdbus-1-3:1.12.16-2ubuntu2.1,deb://ubuntu:focal:libdbus-1-3,1.12.16-2ubuntu2.1
ubuntu:focal:liberror-perl,"Artistic-2.0,GPL-3.0,MIT","http://www.opensource.org/licenses/artistic-license-2.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.opensource.org/licenses/MIT",deb,ubuntu:focal:liberror-perl:0.17029-1,deb://ubuntu:focal:liberror-perl,0.17029-1
ubuntu:focal:libvorbis0a,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,deb,ubuntu:focal:libvorbis0a:1.3.6-2ubuntu1,deb://ubuntu:focal:libvorbis0a,1.3.6-2ubuntu1
commons-collections:commons-collections,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-collections:commons-collections:3.2.2,gav://commons-collections:commons-collections,3.2.2
org.apache.thrift:libthrift,"Apache-2.0,BSD-3-Clause","http://licenses.nuget.org/Apache-2.0,http://opensource.org/licenses/BSD-3-Clause",maven,org.apache.thrift:libthrift:0.14.1,gav://org.apache.thrift:libthrift,0.14.1
asgiref,"BSD,BSD-3-Clause","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-3-Clause",pypi,asgiref:3.5.0,pypi://asgiref,3.5.0
debugpy,MIT,http://www.opensource.org/licenses/MIT,pypi,debugpy:1.6.0,pypi://debugpy,1.6.0
