Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
jsonschema,MIT,http://www.opensource.org/licenses/MIT,pypi,jsonschema:3.2.0,pypi://jsonschema,3.2.0
kubernetes,Apache-2.0,http://licenses.nuget.org/Apache-2.0,pypi,kubernetes:17.17.0,pypi://kubernetes,17.17.0
org.apache.parquet:parquet-column,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.parquet:parquet-column:1.11.1,gav://org.apache.parquet:parquet-column,1.11.1
connect-mirror-3.0.0.jar,Apache-2.0,http://licenses.nuget.org/Apache-2.0,generic,connect-mirror-3.0.0.jar,generic://sha256:666464654944535e9750507acd7e1aba54711e6949f93b314f409ae7d21cec45/connect-mirror-3.0.0.jar,
are-we-there-yet,ISC,http://www.opensource.org/licenses/ISC,npm,are-we-there-yet:3.0.0,npm://are-we-there-yet,3.0.0
fengari-interop,MIT,http://www.opensource.org/licenses/MIT,npm,fengari-interop:0.1.3,npm://fengari-interop,0.1.3
isstream,MIT,http://www.opensource.org/licenses/MIT,npm,isstream:0.1.2,npm://isstream,0.1.2
strip-ansi,MIT,http://www.opensource.org/licenses/MIT,npm,strip-ansi:6.0.1,npm://strip-ansi,6.0.1
@tsconfig/node10,MIT,http://www.opensource.org/licenses/MIT,npm,@tsconfig/node10:1.0.8,npm://@tsconfig/node10,1.0.8
unbox-primitive,MIT,http://www.opensource.org/licenses/MIT,npm,unbox-primitive:1.0.1,npm://unbox-primitive,1.0.1
ubuntu:focal:libogg0,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,deb,ubuntu:focal:libogg0:1.3.4-0ubuntu1,deb://ubuntu:focal:libogg0,1.3.4-0ubuntu1
distlib,"CNRI-Python,MIT","http://www.opensource.org/licenses/CNRI-Python,http://www.opensource.org/licenses/MIT",pypi,distlib:0.3.0,pypi://distlib,0.3.0
ubuntu:focal:gpg,"BSD,CC0-1.0,GPL-3.0,LGPL-3.0","http://directory.fsf.org/wiki/License:BSD_4Clause,http://creativecommons.org/publicdomain/zero/1.0/,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.gnu.org/licenses/lgpl-3.0-standalone.html",deb,ubuntu:focal:gpg:2.2.19-3ubuntu2.1,deb://ubuntu:focal:gpg,2.2.19-3ubuntu2.1
